53 AL,Mobile
13 AR,LittleRock
71 CA,Bakersfield
67 CA,Fairfield
57 CA,LongBeach
78 CA,LosAngeles
26 CA,Oxnard
162 CA,Sacramento
75 CA,Salinas
12 CA,SanDiego
119 CA,SanJose
2 CA,SantaAna
120 CA,SantaRosa
62 CA,SouthSanFrancisco
73 CO,ColoradoSprings
161 CO,Denver
42 DE,Wilmington
16 FL,FortLauderdale
81 FL,FortMyers
47 FL,Jacksonville
34 FL,LakeWorth
109 FL,Orlando
176 FL,Tallahassee
195 GA,Macon
115 HI,Honolulu
10 IA,IowaCity
102 IA,Johnston
171 IA,Waterloo
137 IA,SiouxCity
159 ID,Boise
90 IL,EastPeoria
135 IL,Rockford
132 IL,Springfield
105 IN,FortWayne
5 IN,Indianapolis
50 IN,SouthBend
4 IN,TerreHaute
20 KS,Wichita
7 LA,Shreveport
11 MD,Baltimore
76 MD,Forestville
69 MD,Frederick
184 MD,Hagerstown
111 ME,Portland
55 MI,Adrian
68 MI,Charlotte
196 MI,Detroit
114 MI,Flint
9 MI,Grandville
77 MI,Kalamazoo
86 MI,Muskegon
85 MI,PortHuron
89 MI,TraverseCity
106 MN,BrooklynPark
168 MN,Duluth
58 MO,BlueSprings
140 MO,St.Louis
178 MS,Ridgeland
187 MT,Belgrade
61 MT,Billings
99 MT,GreatFalls
190 MT,Helena
128 MT,Missoula
80 NC,Charlotte
46 NC,Greensboro
181 NC,Statesville
154 ND,Bismarck
182 NE,GrandIsland
118 NE,Omaha
136 NJ,Bellmawr
147 NV,LasVegas
33 NY,NewYork
127 NY,Buffalo
17 NY,Rochester
197 NY,WappingersFalls
27 OH,Akron
126 OH,Chillicothe
130 OH,Cincinnati
87 OH,Cleveland
107 OH,Columbus
54 OH,Dayton
32 OH,Newark
103 OH,Powell
28 OH,Toledo
188 OK,Lawton
180 ON,London
59 OR,Eugene
8 OR,Hillsboro
15 OR,Medford
30 PA,Berwyn
146 PA,FallsCreek
199 PA,Harrisburg
18 PA,NorthVersailles
60 PA,Reading
179 PA,Scranton
193 SC,Columbia
22 SC,Greenville
177 SC,NorthCharleston
163 SD,SiouxFalls
124 TN,Chattanooga
117 TN,Nashville
43 TX,Austin
133 TX,CorpusChristi
100 TX,ElPaso
63 TX,FortWorth
189 TX,Houston
185 TX,Houston
104 TX,Lubbock
74 TX,Lufkin
164 TX,SanAntonio
101 TX,Tyler
144 TX,Waco
192 UT,Murray
145 VA,Fredericksburg
191 VA,Roanoke
155 WA,Pasco
48 WA,Seattle
19 WA,Spokane
198 WA,Spokane
122 WA,Tacoma
134 WI,Appleton
108 WI,Madison
29 WI,Racine
56 WV,Charleston
31 WV,Huntington
150 WY,Cheyenne